,year,month,day,day_of_week,day_of_year,quarter,hour,minute,second,temp,cond,do,turb,chl-a
66,2019,9,14,5,257,3,16,15,1,30.12571,107.8422,6.922192,39.64798,178.1196
67,2019,3,2,5,61,1,3,7,53,29.84583,96.98977,4.384028,30.19317,47.62733
68,2019,9,21,5,264,3,15,27,57,29.59529,107.6773,5.819552,86.75901,681.4552
69,2019,9,16,0,259,3,0,0,1,30.13142,105.7368,7.878091,62.19992,312.0921
70,2019,10,5,5,278,4,0,43,9,29.08027,115.2224,5.506729,168.6365,961.7781
71,2019,10,2,2,275,4,13,43,9,28.95876,112.3212,6.220788,111.9021,793.9927
72,2019,3,11,0,70,1,9,48,5,28.62093,84.28384,3.2749580000000003,33.04486,54.224
73,2019,3,23,5,82,1,13,44,44,30.76126,99.1404,6.84663,52.15159,358.2908
74,2019,3,29,4,88,1,8,13,9,30.05695,95.92804,3.24035,34.28437,307.1494
75,2019,9,19,3,262,3,8,57,57,29.34012,105.8085,5.847473,118.2369,820.6823
76,2019,9,27,4,270,3,14,32,0,29.443890000000003,113.0189,5.511267,101.0328,532.7705
77,2019,3,26,1,85,1,6,24,44,29.90355,92.76524,5.154806,61.02463,299.5131
78,2019,3,27,2,86,1,19,3,9,30.59156,94.41837,8.469101,29.27849,389.713
79,2019,3,28,3,87,1,5,53,9,30.31858,93.69516,7.767566,39.90346,321.9734
80,2019,2,22,4,53,1,15,0,0,29.88162,94.74398,7.950547,65.73718000000001,63.46015
81,2019,2,20,2,51,1,19,20,0,29.93661,93.55435,11.49186,71.28068,73.20286
82,2019,9,16,0,259,3,14,0,1,29.89628,105.8924,8.621391000000001,101.1101,397.7238
83,2019,9,29,6,272,3,14,17,0,29.46458,111.2958,5.908049,225.7891,737.5016
84,2019,3,11,0,70,1,4,18,5,28.72604,83.87619000000002,3.792824,31.108040000000006,51.73904
85,2019,9,29,6,272,3,3,47,0,29.63116,111.0103,6.286375,220.2177,732.0084
86,2019,3,22,4,81,1,0,34,44,30.76778,97.82694,6.9611589999999985,122.5463,306.1266
87,2019,9,24,1,267,3,16,12,57,29.55082,111.3539,4.5492089999999985,78.33678,551.6575
88,2019,9,22,6,265,3,3,27,57,29.75641,108.2285,7.657227000000002,149.1939,768.9241
89,2019,9,14,5,257,3,0,15,1,30.58685,108.095,8.853247999999997,33.18581,33.37294
90,2019,9,23,0,266,3,3,12,57,29.56595,108.9465,6.198004,136.0604,655.0196
91,2019,3,1,4,60,1,15,57,53,30.13528,95.45382,6.16991,44.54636,44.57269
92,2019,3,16,5,75,1,23,53,33,30.6237,93.92429,7.773616,160.1609,272.5612
93,2019,3,13,2,72,1,22,53,32,29.91268,90.25135,3.948484,30.64709,110.8201
94,2019,9,30,0,273,3,0,17,0,29.60453,111.6831,9.856489,168.9575,612.5516
95,2019,9,18,2,261,3,20,12,57,30.01421,108.2766,11.71168,137.7004,899.7859
96,2019,3,23,5,82,1,11,14,44,30.68539,98.80287,6.834544,65.77333,327.1322
97,2019,9,12,3,255,3,21,0,0,30.98965,107.5041,10.31261,64.45541999999999,61.73896
98,2019,3,7,3,66,1,0,8,5,30.83581,101.5603,7.956108,17.34049,65.20187
99,2019,3,27,2,86,1,10,13,9,30.18705,93.12978,7.187239,31.35012,326.4888
100,2019,3,19,1,78,1,19,53,33,31.1026,95.48553,9.654824,213.5658,317.973
101,2019,2,28,3,59,1,22,7,53,30.54102,103.4174,6.663069,37.27978,51.64227
102,2019,9,24,1,267,3,14,12,57,29.65383,110.888,6.2020040000000005,119.1451,625.0536
103,2019,3,25,0,84,1,15,4,44,29.85238,93.54128,3.419677,132.7255,300.8812
104,2019,9,29,6,272,3,15,17,0,29.4983,111.4792,6.421432,192.3554,754.6044
105,2019,2,23,5,54,1,0,10,0,30.07083,96.57869,7.066897999999999,46.12148,59.71919000000001
106,2019,3,15,4,74,1,19,13,32,30.521790000000006,92.40335,9.737339,69.04608,227.7436
107,2019,2,21,3,52,1,2,0,0,29.77345,93.48179,7.3369300000000015,37.58389,55.88882
108,2019,3,19,1,78,1,3,3,33,30.98246,95.97784,8.012796,259.1413,286.3762
109,2019,4,2,1,92,2,12,33,9,30.35171,97.86353,3.088834,71.09106,89.05861
110,2019,9,26,3,269,3,21,17,0,29.84073,113.9051,6.6956050000000005,114.868,579.6047
111,2019,9,20,4,263,3,4,27,57,29.72587,106.5123,6.9369619999999985,92.0092,664.2324
112,2019,4,1,0,91,2,2,13,9,30.44152,95.36521,4.6551230000000015,74.94426999999997,151.5554
113,2019,3,22,4,81,1,10,34,44,30.31731,99.46185,3.078127,90.57959,285.1658
114,2019,3,8,4,67,1,19,28,5,31.59563,105.1289,7.9277380000000015,29.53417,70.73138
115,2019,2,23,5,54,1,13,0,0,30.07692,96.61938,8.684472,24.13222,51.20268
116,2019,2,22,4,53,1,5,50,0,30.00634,95.72044,9.185218,66.08910999999999,52.03066
117,2019,2,20,2,51,1,16,20,0,29.7353,95.43964,9.408309,45.52512,69.22716
118,2019,3,7,3,66,1,17,58,5,30.91155,102.5496,8.141498,30.80822,69.70965
119,2019,10,1,1,274,4,1,47,0,29.2159,111.462,8.982626,160.8791,740.5625
120,2019,3,27,2,86,1,21,13,9,30.6193,95.17642,7.212026,40.57367,364.1834
121,2019,9,25,2,268,3,0,57,57,29.95607,112.1171,4.532638,113.5615,466.8796
122,2019,10,3,3,276,4,15,43,9,28.97923,113.9882,6.485745,125.6322,886.4093
123,2019,10,1,1,274,4,6,47,0,28.93843,111.2589,4.84202,86.13915,679.0408
124,2019,2,22,4,53,1,8,10,0,29.857540000000004,95.10836,9.929243,42.02883,51.71898
125,2019,3,24,6,83,1,3,34,44,30.96223,98.67653,8.386655000000001,47.29542,329.5409
126,2019,2,27,2,58,1,16,27,53,30.319940000000006,101.1168,7.026764,50.22588,65.42371
127,2019,3,25,0,84,1,7,44,44,29.79936,93.03656,0.9837945,62.34356,268.3709
