datetime,actual_conductivity,do_concentration,turbidity,chl-a_concentration,temperature
2019-02-21 00:30:00,93.71053,7.037598,46.76654,60.2166,29.76458
2019-02-21 00:40:00,93.58795,7.406879,32.42741,57.83865,29.75088
2019-02-21 00:50:00,93.57109,8.017007,51.57797,57.88321,29.75934
2019-02-21 01:00:00,93.81498,8.14197,35.28626,60.56911,29.87627
2019-02-21 01:10:00,93.91628,9.22659,40.91696,58.56306,29.94379
2019-02-21 01:20:00,93.97008,9.684617,31.88279,61.50947,29.9957
2019-02-21 01:30:00,93.74124,9.178986,63.60188,60.74004,29.91656
2019-02-21 01:40:00,93.56865,8.858311,37.64417,61.29684,29.83801
2019-02-21 01:50:00,93.42722,7.816436,50.83567,59.25912,29.80294
2019-02-21 02:00:00,93.48179,7.33693,37.58389,55.88882,29.77345
2019-02-21 02:10:00,93.56777,7.270483,30.17219,55.13854,29.75847
2019-02-21 02:20:00,93.81465,7.232564,40.47446,55.00884,29.81385
2019-02-21 02:30:00,93.70865,7.538816,59.42918,55.92913,29.84611
2019-02-21 02:40:00,94.12768,8.653885,49.95409,56.06065,29.95493
2019-02-21 02:50:00,94.46449,10.08132,27.80063,55.99618,30.02653
2019-02-21 03:00:00,94.76012,10.1611,53.01627,55.49551,30.02798
2019-02-21 03:10:00,93.93693,9.845509,51.11229,61.13185,29.9713
2019-02-21 03:20:00,93.73096,9.363223,53.22055,61.91767,29.93087
2019-02-21 03:30:00,93.67172,8.800225,35.8909,62.33797,29.86935
2019-02-21 03:40:00,93.69305,8.711274,31.44093,54.51135,29.84965
2019-02-21 03:50:00,93.68961,8.129611,51.31936,58.98963,29.81323
2019-02-21 04:00:00,93.62666,7.567517,34.80412,55.25879,29.78232
2019-02-21 04:10:00,93.85183,8.624371,41.36694,55.38428,29.89137
2019-02-21 04:20:00,93.96056,9.627422,43.9228,53.31987,29.90789
2019-02-21 04:30:00,93.97045,10.05494,39.39832,55.25594,29.9233
2019-02-21 04:40:00,93.9414,9.77739,44.37968,51.06261,29.90466
2019-02-21 04:50:00,93.93366,9.844501,32.86415,54.36969,29.89594
2019-02-21 05:00:00,93.96769,9.815563,39.66498,52.64087,29.88829
2019-02-21 05:10:00,93.91301,10.05392,53.63237,52.02693,29.86725
2019-02-21 05:20:00,93.95336,9.74455,60.49069,53.10378,29.85779
2019-02-21 05:30:00,93.85812,9.812848,41.77267,56.95457,29.83971
2019-02-21 05:40:00,93.67364,8.965011,70.93821,54.96627,29.80818
2019-02-21 05:50:00,93.84543,9.201972,46.18003,53.931,29.81204
2019-02-21 06:00:00,93.70559,8.709935,44.91439,54.75961,29.7891
2019-02-21 06:10:00,93.71895,8.141937,29.85789,50.63073,29.75809
2019-02-21 06:20:00,93.77065,8.586433,29.22794,51.10672,29.75914
2019-02-21 06:30:00,93.79502,8.665424,61.96627,52.53449,29.74934
2019-02-21 06:40:00,93.83239,8.443451,48.5317,49.55097,29.73151
2019-02-21 06:50:00,93.81549,8.636607,35.40646,52.54497,29.71628
2019-02-21 07:00:00,93.79346,8.692031,49.58299,52.85129,29.70154
2019-02-21 07:10:00,93.72444,8.638016,72.27586,49.51229,29.68825
2019-02-21 07:20:00,93.685,8.506596,51.73385,49.51303,29.67664
2019-02-21 07:30:00,93.69376,8.560648,77.51801,52.27554,29.65871
2019-02-21 07:40:00,93.72788,8.412821,47.71884,51.76699,29.64984
2019-02-21 07:50:00,93.51415,8.294706,48.26876,52.81126,29.64129
2019-02-21 08:00:00,93.53481,8.431729,41.40613,59.3662,29.63774
2019-02-21 08:10:00,93.44699,8.445572,51.4012,53.72869,29.62445
2019-02-21 08:20:00,93.42112,8.147236,57.70045,53.8359,29.59554
2019-02-21 08:30:00,93.48382,7.963221,76.09952,53.17527,29.58357
2019-02-21 08:40:00,93.59489,7.376223,61.03663,56.76002,29.58934
2019-02-21 08:50:00,93.57909,7.053531,45.31554,55.43777,29.57245
2019-02-21 09:00:00,93.63103,7.11095,54.59473,56.35987,29.58763
2019-02-21 09:10:00,93.58801,7.031235,52.89424,53.86625,29.58729
2019-02-21 09:20:00,93.46868,7.710369,69.15472,53.36983,29.5985
2019-02-21 09:30:00,93.40536,8.279764,49.39759,53.58411,29.5966
2019-02-21 09:40:00,93.39855,8.144305,47.61539,54.97638,29.5925
2019-02-21 09:50:00,93.44725,7.937835,95.39262,55.23963,29.59887
2019-02-21 10:00:00,93.43927,8.091581,62.0218,52.64325,29.59888
2019-02-21 10:10:00,93.43384,7.836899,76.09135,53.77151,29.59705
2019-02-21 10:20:00,94.46127,5.582811,31.14998,47.84671,29.58981
2019-02-21 10:30:00,95.35612,6.479455,47.29639,47.50529,29.59631
2019-02-21 10:40:00,95.53465,6.330062,57.38725,47.84071,29.61534
2019-02-21 10:50:00,95.81931,5.335831,24.29653,48.60841,29.59302
2019-02-21 11:00:00,96.15148,6.308964,38.84977,44.66729,29.59216
2019-02-21 11:10:00,94.21704,7.471964,37.27486,50.9612,29.62504
2019-02-21 11:20:00,94.26719,7.608681,46.51486,51.71841,29.67432
2019-02-21 11:30:00,93.88388,7.809839,32.31498,52.98471,29.62624
2019-02-21 11:40:00,93.54911,7.093028,41.00026,53.87601,29.6351
2019-02-21 11:50:00,93.64951,8.450316,59.8672,54.86484,29.69855
2019-02-21 12:00:00,93.83696,8.200918,54.66552,51.06691,29.6263
2019-02-21 12:10:00,94.52847,7.764448,42.828,48.53752,29.61961
2019-02-21 12:20:00,93.61292,7.641293,48.29507,52.62495,29.63971
2019-02-21 12:30:00,93.57664,7.977396,63.33678,55.10263,29.66642
2019-02-21 12:40:00,93.82803,7.639637,36.47139,53.41089,29.66593
2019-02-21 12:50:00,93.65257,7.322554,48.83949,48.13017,29.6602
2019-02-21 13:00:00,93.67638,7.399931,32.58786,52.34857,29.6679
2019-02-21 13:10:00,93.75383,7.53862,47.02279,51.98804,29.67707
2019-02-21 13:20:00,93.62108,7.5809,44.22504,47.69949,29.6691
2019-02-21 13:30:00,93.97694,8.008376,30.97926,47.54026,29.64429
2019-02-21 13:40:00,93.93907,8.006062,34.69176,49.5144,29.64981
2019-02-21 13:50:00,93.78756,8.189717,41.92007,53.34893,29.67861
2019-02-21 14:00:00,93.85181,8.283468,29.17829,51.87418,29.67567
2019-02-21 14:10:00,93.84442,8.174033,35.05279,52.20948,29.67286
2019-02-21 14:20:00,93.92114,8.188995,41.27107,48.54903,29.67155
2019-02-21 14:30:00,93.80315,9.090021,32.03764,65.30387,29.71499
2019-02-21 14:40:00,93.80534,9.250629,48.24871,61.07242,29.72204
2019-02-21 14:50:00,93.85114,9.40713,52.76143,56.18972,29.73138
2019-02-21 15:00:00,93.91565,8.655152,46.29515,55.5497,29.69668
2019-02-21 15:10:00,93.85715,9.52457,47.17135,72.00012,29.75491
2019-02-21 15:20:00,93.88554,8.862204,24.87815,59.65919,29.71929
2019-02-21 15:30:00,93.8189,9.657035,53.4452,67.18973,29.75354
2019-02-21 15:40:00,93.90307,9.335414,44.89235,69.00325,29.74009
2019-02-21 15:50:00,94.05031,8.605341,30.35464,64.99371,29.70891
2019-02-21 16:00:00,94.06852,9.364145,34.59891,66.85704,29.73709
2019-02-21 16:10:00,93.92555,9.192806,80.63578,68.93459,29.72845
2019-02-21 16:20:00,93.99826,9.692822,62.72697,65.02113,29.77674
2019-02-21 16:30:00,93.95651,9.808157,49.18122,75.10575,29.78035
2019-02-21 16:40:00,94.09518,9.540098,29.9845,68.09556,29.76502
2019-02-21 16:50:00,94.03112,9.36531,44.14618,63.77794,29.74833
2019-02-21 17:00:00,94.08102,10.12801,43.62281,66.32104,29.76987
2019-02-21 17:10:00,94.13108,8.594918,52.73779,64.00687,29.71328
2019-02-21 17:20:00,94.12125,8.645844,49.2408,58.24524,29.71041
2019-02-21 17:30:00,94.18453,8.535245,46.23414,59.33635,29.7095
2019-02-21 17:40:00,94.16278,8.264825,42.8604,63.88721,29.71079
2019-02-21 17:50:00,94.02636,8.763156,41.99458,66.09453,29.7386
2019-02-21 18:00:00,94.09216,8.941806,56.03251,75.47516,29.76503
2019-02-21 18:10:00,94.0612,9.270299,50.94424,72.10757,29.77866
2019-02-21 18:20:00,94.00668,10.22675,64.95162,75.87457,29.82155
2019-02-21 18:30:00,94.05293,9.470364,87.24723,83.53857,29.83961
2019-02-21 18:40:00,94.07328,12.23745,70.02186,80.22319,29.9102
2019-02-21 18:50:00,94.05409,10.34238,45.601,76.47948,29.84754
2019-02-21 19:00:00,94.10535,11.53989,87.37005,74.68663,29.92059
2019-02-21 19:10:00,93.93165,9.485311,72.08077,71.72532,29.76796
2019-02-21 19:20:00,93.94695,9.13237,57.86889,74.12337,29.80175
2019-02-21 19:30:00,93.98045,8.937991,57.40579,70.36684,29.76423
2019-02-21 19:40:00,94.02937,8.799961,48.83684,72.3688,29.79639
2019-02-21 19:50:00,94.04123,9.673799,99.87273,78.92505,29.87133
2019-02-21 20:00:00,94.01678,9.892303,54.39088,73.94317,29.84119
2019-02-21 20:10:00,93.9976,8.780642,61.89183,66.85645,29.79408
2019-02-21 20:20:00,94.2347,7.54009,53.42929,64.9473,29.74374
2019-02-21 20:30:00,94.0692,9.244925,77.51803,77.59393,29.81847
2019-02-21 20:40:00,94.13733,10.89323,83.91697,72.95213,29.92741
2019-02-21 20:50:00,94.06003,9.563652,50.61502,65.69179,29.8166
2019-02-21 21:00:00,94.01157,8.138021,73.08696,64.64628,29.78157
2019-02-21 21:10:00,94.1001,9.332495,40.13789,71.07806,29.8568
2019-02-21 21:20:00,94.07428,9.98723,76.50366,69.48422,29.86734
2019-02-21 21:30:00,93.9397,8.777052,87.52439,66.94509,29.81742
2019-02-21 21:40:00,94.10076,8.312141,45.22007,66.65649,29.79619
2019-02-21 21:50:00,94.15569,8.068069,62.1833,59.76522,29.75756
2019-02-21 22:00:00,94.09682,8.579056,36.60414,64.67067,29.81411
2019-02-21 22:10:00,94.11079,9.123153,39.0954,64.67352,29.82154
2019-02-21 22:20:00,94.05862,9.435687,49.79759,63.09849,29.83683
2019-02-21 22:30:00,94.0852,9.693603,70.58527,64.9559,29.87331
2019-02-21 22:40:00,94.17209,8.747365,50.34665,59.86515,29.80674
2019-02-21 22:50:00,94.00843,7.487988,51.01328,59.73378,29.79071
2019-02-21 23:00:00,93.92269,7.104818,51.04611,60.56807,29.76451
2019-02-21 23:10:00,93.94985,7.958249,49.43415,59.84821,29.77108
2019-02-21 23:20:00,93.91453,8.615,68.43189,64.70837,29.83722
2019-02-21 23:30:00,94.05892,8.377125,63.90889,66.3719,29.87753
2019-02-21 23:40:00,94.10509,8.523694,53.78114,64.31631,29.89813
2019-02-21 23:50:00,94.14378,9.134907,85.58764,66.37821,29.90883
2019-02-22 00:00:00,94.15443,9.204152,52.97372,67.54303,29.87732
2019-02-22 00:10:00,94.09437,9.662333,90.67522,62.02927,29.82927
2019-02-22 00:20:00,94.17275,9.272776,35.48051,67.13421,29.85158
2019-02-22 00:30:00,94.17684,9.596236,49.50359,63.56383,29.86253
2019-02-22 00:40:00,94.10904,9.11064,74.83001,67.22224,29.85007
2019-02-22 00:50:00,94.15643,9.230387,70.38338,64.37848,29.88217
2019-02-22 01:00:00,94.14133,8.968594,48.08513,65.73035,29.88792
2019-02-22 01:10:00,94.1383,8.520666,53.11132,63.87593,29.87066
2019-02-22 01:20:00,94.11937,7.758461,72.73952,62.61769,29.84499
2019-02-22 01:30:00,94.04743,7.659652,36.10292,64.23203,29.82107
2019-02-22 01:40:00,94.00214,7.426513,52.62389,60.8587,29.80082
2019-02-22 01:50:00,94.37212,8.229185,47.1185,58.79188,29.90848
2019-02-22 02:00:00,94.6411,7.02025,34.84297,55.2986,29.77222
2019-02-22 02:10:00,94.37135,8.351162,43.48498,58.26628,29.86405
2019-02-22 02:20:00,94.20192,7.999512,49.37312,59.6246,29.83622
2019-02-22 02:30:00,94.19084,8.097801,67.15844,63.01251,29.85608
2019-02-22 02:40:00,94.18065,8.474797,49.59773,58.57656,29.84267
2019-02-22 02:50:00,94.15155,7.995972,36.01133,58.91486,29.82276
2019-02-22 03:00:00,94.15565,7.935595,53.05208,61.40808,29.84087
2019-02-22 03:10:00,94.21515,7.967025,80.18084,60.5092,29.85175
2019-02-22 03:20:00,94.29148,8.036907,48.70328,59.41243,29.84845
2019-02-22 03:30:00,94.39114,7.582411,52.49044,59.16111,29.90561
2019-02-22 03:40:00,94.28246,7.984805,47.70274,59.92861,29.91042
2019-02-22 03:50:00,94.4826,8.22026,55.51004,58.53822,29.95572
2019-02-22 04:00:00,94.14152,8.137185,49.32067,58.93114,29.85961
2019-02-22 04:10:00,94.20725,7.706064,34.28769,55.50594,29.86943
2019-02-22 04:20:00,94.78207,8.25396,45.73073,57.98706,29.93857
2019-02-22 04:30:00,94.4456,7.881962,40.9903,55.02232,29.90482
2019-02-22 04:40:00,94.61693,8.667336,62.56969,52.02926,29.94326
2019-02-22 04:50:00,95.27348,8.588986,47.07776,51.74819,30.01038
2019-02-22 05:00:00,95.42433,7.81182,66.28581,50.71434,29.98498
2019-02-22 05:10:00,95.01198,9.641609,43.77193,50.8178,29.99877
2019-02-22 05:20:00,95.47685,8.622489,51.94984,51.02729,30.00425
2019-02-22 05:30:00,95.32593,6.567981,37.26436,50.94218,29.88888
2019-02-22 05:40:00,95.61354,9.595151,41.77812,48.88108,30.05772
2019-02-22 05:50:00,95.72044,9.185218,66.08911,52.03066,30.00634
2019-02-22 06:00:00,96.16789,10.73025,42.49513,51.27562,30.06809
2019-02-22 06:10:00,95.74004,8.903952,44.20929,53.78907,29.97927
2019-02-22 06:20:00,95.49503,8.883524,50.58408,51.02835,29.96456
2019-02-22 06:30:00,95.61658,8.648157,26.29082,50.77256,29.96165
2019-02-22 06:40:00,95.61076,9.516867,41.28344,50.81039,29.97031
2019-02-22 06:50:00,95.66053,10.79087,46.45193,50.16109,30.00346
2019-02-22 07:00:00,95.58961,10.43103,66.45849,51.80101,29.97764
2019-02-22 07:10:00,95.44041,10.36411,37.69222,48.94127,29.90255
2019-02-22 07:20:00,95.62905,9.350803,64.80829,50.0892,29.92097
2019-02-22 07:30:00,95.38881,10.07412,44.02038,50.89816,29.90705
2019-02-22 07:40:00,95.37511,10.47868,28.83524,53.50568,29.91398
2019-02-22 07:50:00,95.38107,10.06648,64.28681,53.2477,29.90614
2019-02-22 08:00:00,95.20999,9.799799,34.89589,53.46617,29.88249
2019-02-22 08:10:00,95.10836,9.929243,42.02883,51.71898,29.85754
2019-02-22 08:20:00,94.95229,9.7057,54.34784,51.82946,29.83072
2019-02-22 08:30:00,94.65807,7.599191,48.89799,52.85806,29.7832
2019-02-22 08:40:00,94.79037,9.149414,33.16645,51.38126,29.82161
2019-02-22 08:50:00,94.79362,8.754502,50.9796,57.01528,29.80844
2019-02-22 09:00:00,94.88528,8.43361,39.56197,77.04971,29.77883
2019-02-22 09:10:00,94.82516,9.105828,44.37435,57.12017,29.79887
2019-02-22 09:20:00,94.7696,8.669832,51.58652,59.58757,29.79838
2019-02-22 09:30:00,94.83595,8.742766,38.73172,61.95256,29.81025
2019-02-22 09:40:00,94.79539,7.606103,50.98738,59.08944,29.79615
2019-02-22 09:50:00,94.68751,6.834741,59.9622,66.76447,29.7752
2019-02-22 10:00:00,94.4448,7.235844,42.86273,61.14058,29.7903
2019-02-22 10:10:00,94.43003,7.106543,67.82565,59.46812,29.79191
2019-02-22 10:20:00,94.65523,6.515749,43.319,52.83481,29.78661
2019-02-22 10:30:00,94.54868,6.945618,45.52378,55.97684,29.80198
2019-02-22 10:40:00,94.53694,7.493624,32.47124,56.99548,29.81266
2019-02-22 10:50:00,95.0984,7.861956,40.94801,53.22849,29.83301
2019-02-22 11:00:00,94.96879,7.334936,40.23024,54.12252,29.81017
2019-02-22 11:10:00,96.03425,8.163074,44.6002,54.12752,29.86381
2019-02-22 11:20:00,96.36913,8.938085,88.62762,54.58176,29.8773
2019-02-22 11:30:00,96.9118,8.942659,56.17355,49.11274,29.87478
